trans_id,translation,lang
ARIANE,Ariane,fr
ARIANE,Ariane,nl
ARISTIDE BRIAND,Aristide Briand,fr
ARISTIDE BRIAND,Aristide Briand,nl
ARSENAL,Arsenal,fr
ARSENAL,Arsenaal,nl
ARTEMIS,Artémis,fr
ARTEMIS,Artémis,nl
ARTISTES,Artistes,fr
ARTISTES,Kunstenaars,nl
ARTS ET METIERS,Arts et Métiers,fr
ARTS ET METIERS,Arts et Métiers,nl
ARTS-LOI,Arts-Loi,fr
ARTS-LOI,Kunst-Wet,nl
AUDERGHEM-FORET,Auderghem-Forêt,fr
AUDERGHEM-FORET,Oudergem-Woud,nl
AUDERGHEM-SHOP.,Auderghem-Shopping,fr
AUDERGHEM-SHOP.,Oudergem-Shopping,nl
AUDITOIRES-UCL,Auditoires-UCL,fr
AUDITOIRES-UCL,Auditoires-UCL,nl
AUDREY HEPBURN,Audrey Hepburn,fr
AUDREY HEPBURN,Audrey Hepburn,nl
AULNE,Aulne,fr
AULNE,Elzeboom,nl
AUMALE,Aumale,fr
AUMALE,Aumale,nl
AUTRIQUE,Autrique,fr
AUTRIQUE,Autrique,nl
AVANT-PORT,Avant-Port,fr
AVANT-PORT,Voorhaven,nl
AVENUE DU ROI,Avenue du Roi,fr
AVENUE DU ROI,Koningslaan,nl
AVIATION,Aviation,fr
AVIATION,Luchtvaart,nl
AZALEES,Azalées,fr
AZALEES,Azalea,nl
AZUR,Azur,fr
AZUR,Azuur,nl
BAILLI,Bailli,fr
BAILLI,Baljuw,nl
BAN-EIK,Ban-Eik,fr
BAN-EIK,Ban-Eik,nl
BARA,Bara,fr
BARA,Bara,nl
BARON DE CASTRO,Baron de Castro,fr
BARON DE CASTRO,Baron de Castro,nl
BARRIERE,Barrière,fr
BARRIERE,Bareel,nl
BASCULE,Bascule,fr
BASCULE,Bascule,nl
BASILIX,Basilix,fr
BASILIX,Basilix,nl
BASTOGNE,Bastogne,fr
BASTOGNE,Bastenaken,nl
BEAULIEU,Beaulieu,fr
BEAULIEU,Beaulieu,nl
BEAUTE,Beauté,fr
BEAUTE,Schoonheid,nl
BEECKMANS,Beeckmans,fr
BEECKMANS,Beeckmans,nl
BEEKKANT,Beekkant,fr
BEEKKANT,Beekkant,nl
BEERSELLAAN,Beersellaan,fr
BEERSELLAAN,Beersellaan,nl
BEL-AIR,Bel-Air,fr
BEL-AIR,Schone Lucht,nl
BELGICA,Belgica,fr
BELGICA,Belgica,nl
BEMPT,Bempt,fr
BEMPT,Bempt,nl
BENES,Bénès,fr
BENES,Bénès,nl
BENS,Bens,fr
BENS,Bens,nl
BERCHEM-SHOPPING,Berchem-Shopping,fr
BERCHEM-SHOPPING,Berchem-Shopping,nl
BERENSHEIDE,Berensheide,fr
BERENSHEIDE,Berensheide,nl
BERGDAL,Bergdal,fr
BERGDAL,Bergdal,nl
BERGOJE,Bergoje,fr
BERGOJE,Bergoje,nl
BERKENDAEL,Berkendael,fr
BERKENDAEL,Berkendaal,nl
BERTHELOT,Berthelot,fr
BERTHELOT,Berthelot,nl
BERVOETS,Bervoets,fr
BERVOETS,Bervoets,nl
BESME,Besme,fr
BESME,Besme,nl
BETHLEEM,Bethléem,fr
BETHLEEM,Bethlehem,nl
BEYSEGHEM,Beyseghem,fr
BEYSEGHEM,Beizegem,nl
BIARRITZ,Biarritz,fr
BIARRITZ,Biarritz,nl
BICHON,Bichon,fr
BICHON,Bichon,nl
BICOQUE,Bicoque,fr
BICOQUE,Bicoque,nl
BIEBUYCK,Biebuyck,fr
BIEBUYCK,Biebuyck,nl
BIEN-FAIRE,Bien-Faire,fr
BIEN-FAIRE,Bien-Faire,nl
BIENFAITEURS,Bienfaiteurs,fr
BIENFAITEURS,Weldoeners,nl
BIGARREAUX,Bigarreaux,fr
BIGARREAUX,Vleeskersen,nl
BIPLAN,Biplan,fr
BIPLAN,Tweedekker,nl
BIZET,Bizet,fr
BIZET,Bizet,nl
BLOKKEN,Blokken,fr
BLOKKEN,Blokken,nl
BLYCKAERTS,Blyckaerts,fr
BLYCKAERTS,Blyckaerts,nl
BOCKSTAEL,Bockstael,fr
BOCKSTAEL,Bockstael,nl
BOETENDAEL,Boetendael,fr
BOETENDAEL,Boetendael,nl
BOILEAU,Boileau,fr
BOILEAU,Boileau,nl
BOIS DES ILES,Bois des Îles,fr
BOIS DES ILES,Eilandenhout,nl
BOITSFORT GARE,Boitsfort Gare,fr
BOITSFORT GARE,Bosvoorde Station,nl
BOLLINCKX,Bollinckx,fr
BOLLINCKX,Bollinckx,nl
BON AIR,Bon Air,fr
BON AIR,Goede Lucht,nl
BONAVENTURE,Bonaventure,fr
BONAVENTURE,Bonaventure,nl
BOONDAEL GARE,Boondael Gare,fr
BOONDAEL GARE,Boondaal Station,nl
BORDET STATION,Bordet Station,fr
BORDET STATION,Bordet Station,nl
BORNE,Borne,fr
BORNE,Paal,nl
BOSSAERT-BASILIQ.,Bossaert-Basilique,fr
BOSSAERT-BASILIQ.,Bossaert-Basiliek,nl
BOSSUET,Bossuet,fr
BOSSUET,Bossuet,nl
BOTANIQUE,Botanique,fr
BOTANIQUE,Kruidtuin,nl
BOULE ET BILL,Boule et Bill,fr
BOULE ET BILL,Bollie en Billie,nl
BOULEAUX,Bouleaux,fr
BOULEAUX,Berken,nl
BOURDON,Bourdon,fr
BOURDON,Horzel,nl
BOURGET,Bourget,fr
BOURGET,Bourget,nl
BOURSE,Bourse,fr
BOURSE,Beurs,nl
BOZAR,Bozar,fr
BOZAR,Bozar,nl
BRABANCONNE,Brabançonne,fr
BRABANCONNE,Brabançonne,nl
BRAEMT,Braemt,fr
BRAEMT,Braemt,nl
BRAVES,Braves,fr
BRAVES,Dapperen,nl
BREMER,Bremer,fr
BREMER,Bremer,nl
BRESIL,Brésil,fr
BRESIL,Brazilië,nl
BREYDEL,Breydel,fr
BREYDEL,Breydel,nl
BRILLANT,Brillant,fr
BRILLANT,Briljant,nl
BROEK,Broek,fr
BROEK,Broek,nl
BROEREN,Broeren,fr
BROEREN,Broeren,nl
BROUSTIN,Broustin,fr
BROUSTIN,Broustin,nl
BRUNARD,Brunard,fr
BRUNARD,Brunard,nl
BRUSSELS AIRPORT,Brussels Airport,fr
BRUSSELS AIRPORT,Brussels Airport,nl
BRUSSELSESTEENWEG,Brusselsesteenweg,fr
BRUSSELSESTEENWEG,Brusselsesteenweg,nl
BRUXELLOIS,Bruxellois,fr
BRUXELLOIS,Brusselaars,nl
BUANDERIE,Buanderie,fr
BUANDERIE,Washuis,nl
BUDA,Buda,fr
BUDA,Buda,nl
BUEDTS,Buedts,fr
BUEDTS,Buedts,nl
BUISSONNETS,Buissonnets,fr
BUISSONNETS,Braambosjes,nl
BUYL,Buyl,fr
BUYL,Buyl,nl
CABRIS,Cabris,fr
CABRIS,Geitjes,nl
CALYPSO 2000,Calypso 2000,fr
CALYPSO 2000,Calypso 2000,nl
CAMBRE-ETOILE,Cambre-Étoile,fr
CAMBRE-ETOILE,Ter Kameren-Ster,nl
CAMPUS CERIA,Campus CERIA,fr
CAMPUS CERIA,Campus COOVI,nl
CANDRIES,Candries,fr
CANDRIES,Candries,nl
CAPRICORNE,Capricorne,fr
CAPRICORNE,Steenbok,nl
CARENE,Carène,fr
CARENE,Carina,nl
CARLI,Carli,fr
CARLI,Carli,nl
CARREFOUR STALLE,Carrefour Stalle,fr
CARREFOUR STALLE,Kruispunt Stalle,nl
CAVELL,Cavell,fr
CAVELL,Cavell,nl
CERES,Ceres,fr
CERES,Ceres,nl
CERIA,CERIA,fr
CERIA,COOVI,nl
CERISAIE,Cerisaie,fr
CERISAIE,Kerseboomgaard,nl
CESAR DE PAEPE,César De Paepe,fr
CESAR DE PAEPE,César De Paepe,nl
CHANT D'OISEAU,Chant d'Oiseau,fr
CHANT D'OISEAU,Vogelzang,nl
CHAPELLE,Chapelle,fr
CHAPELLE,Kapellekerk,nl
CHARMILLE,Charmille,fr
CHARMILLE,Haagbeuken,nl
CHARROI,Charroi,fr
CHARROI,Gerij,nl
CHASSEURS ARDEN.,Chasseurs Ardennais,fr
CHASSEURS ARDEN.,Ardense Jagers,nl
CHATAIGNES,Châtaignes,fr
CHATAIGNES,Kastanjes,nl
CHAUMONTEL,Chaumontel,fr
CHAUMONTEL,Chaumontel,nl
CHAZAL,Chazal,fr
CHAZAL,Chazal,nl
CHEMIN DE FER,Chemin de Fer,fr
CHEMIN DE FER,Spoorweg,nl
CHEMIN VERT,Chemin Vert,fr
CHEMIN VERT,Groenweg,nl
CHENAIE,Chênaie,fr
CHENAIE,Eikenbos,nl
CHEVALERIE,Chevalerie,fr
CHEVALERIE,Ridderschap,nl
CHIEN VERT,Chien Vert,fr
CHIEN VERT,Groene Hond,nl
CHIREC,CHIREC,fr
CHIREC,CHIREC,nl
CHOPIN,Chopin,fr
CHOPIN,Chopin,nl
CHURCHILL,Churchill,fr
CHURCHILL,Churchill,nl
CICERON,Cicéron,fr
CICERON,Cicero,nl
CIM. D'IXELLES,Cimetière d'Ixelles,fr
CIM. D'IXELLES,Begraafplaats van Elsene,nl
CIM. DE BRUXELLES,Cimetière de Bruxelles,fr
CIM. DE BRUXELLES,Begraafplaats van Brussel,nl
CIM. DE JETTE,Cimetière de Jette,fr
CIM. DE JETTE,Kerkhof van Jette,nl
CIM. DE MOLENBEEK,Cimetière de Molenbeek,fr
CIM. DE MOLENBEEK,Begraafplaats van Molenbeek,nl
CIMETIERES,Cimetières,fr
CIMETIERES,Begraafplaatsen,nl
CLAYS,Clays,fr
CLAYS,Clays,nl
CLEMENCE EVERARD,Clémence Everard,fr
CLEMENCE EVERARD,Clémence Everard,nl
CLEMENCEAU,Clemenceau,fr
CLEMENCEAU,Clemenceau,nl
CLESSE,Clesse,fr
CLESSE,Clesse,nl
CLINIQUES-UCL,Cliniques-UCL,fr
CLINIQUES-UCL,Cliniques-UCL,nl
CLOVIS,Clovis,fr
CLOVIS,Clovis,nl
COCCINELLES,Coccinelles,fr
COCCINELLES,Lieveheersbeestjes,nl
COGHEN,Coghen,fr
COGHEN,Coghen,nl
COLIGNON,Colignon,fr
COLIGNON,Colignon,nl
COLLEGE S.-COEUR,Collège Sacré-Cœur,fr
COLLEGE S.-COEUR,Heilig Hartcollege,nl
COLLEGE ST-PIERRE,Collège Saint-Pierre,fr
COLLEGE ST-PIERRE,Sint-Pieterscollege,nl
COLOMBOPHILES,Colombophiles,fr
COLOMBOPHILES,Duivenmelkers,nl
COLONEL BOURG,Colonel Bourg,fr
COLONEL BOURG,Kolonel Bourg,nl
COMBAZ,Combaz,fr
COMBAZ,Combaz,nl
COMHAIRE,Comhaire,fr
COMHAIRE,Comhaire,nl
COMTE DE FLANDRE,Comte de Flandre,fr
COMTE DE FLANDRE,Graaf van Vlaanderen,nl
CONDOR,Condor,fr
CONDOR,Condor,nl
CONGRES,Congrès,fr
CONGRES,Congres,nl
CONSCIENCE,Conscience,fr
CONSCIENCE,Conscience,nl
CONSEIL,Conseil,fr
CONSEIL,Raad,nl
CORTENBACH,Cortenbach,fr
CORTENBACH,Kortenbach,nl
COTEAUX,Côteaux,fr
COTEAUX,Wijnheuvelen,nl
CRAETBOS,Craetbos,fr
CRAETBOS,Craetbos,nl
CRAINHEM,Crainhem,fr
CRAINHEM,Kraainem,nl
CREMATORIUM,Crematorium,fr
CREMATORIUM,Crematorium,nl
CROCQ,Crocq,fr
CROCQ,Crocq,nl
CROIX DE GUERRE,Croix de Guerre,fr
CROIX DE GUERRE,Oorlogskruisen,nl
CROSSING,Crossing,fr
CROSSING,Crossing,nl
CUREGHEM,Cureghem,fr
CUREGHEM,Kuregem,nl
DA VINCI,Da Vinci,fr
DA VINCI,Da Vinci,nl
DAILLY,Dailly,fr
DAILLY,Dailly,nl
DANSAERT,Dansaert,fr
DANSAERT,Dansaert,nl
DARWIN,Darwin,fr
DARWIN,Darwin,nl
DAUTZENBERG,Dautzenberg,fr
DAUTZENBERG,Dautzenberg,nl
DE BERLAIMONT,de Berlaimont,fr
DE BERLAIMONT,de Berlaimont,nl
DE BROUCKERE,De Brouckère,fr
DE BROUCKERE,De Brouckère,nl
DE BURBURE,de Burbure,fr
DE BURBURE,de Burbure,nl
DE HEYN,De Heyn,fr
DE HEYN,De Heyn,nl
DE LINDE,De Linde,fr
DE LINDE,De Linde,nl
DE LOMBAERDE,de Lombaerde,fr
DE LOMBAERDE,de Lombaerde,nl
DE VILLALOBAR,de Villalobar,fr
DE VILLALOBAR,de Villalobar,nl
DE VILLEGAS,de Villegas,fr
DE VILLEGAS,de Villegas,nl
DE WAND,De Wand,fr
DE WAND,De Wand,nl
DE WANSIJN,De Wansijn,fr
DE WANSIJN,De Wansijn,nl
DEBUSSY,Debussy,fr
DEBUSSY,Debussy,nl
DECROLY,Decroly,fr
DECROLY,Decroly,nl
DEFACQZ,Defacqz,fr
DEFACQZ,Defacqz,nl
DEGROOFF,Degrooff,fr
DEGROOFF,Degrooff,nl
DELACROIX,Delacroix,fr
DELACROIX,Delacroix,nl
DELHOVE,Delhove,fr
DELHOVE,Delhove,nl
DELLEUR,Delleur,fr
DELLEUR,Delleur,nl
DELPORTE,Delporte,fr
DELPORTE,Delporte,nl
DELTA,Delta,fr
DELTA,Delta,nl
DEMEY,Demey,fr
DEMEY,Demey,nl
DEMINEURS,Démineurs,fr
DEMINEURS,Ontmijners,nl
DEMOLDER,Demolder,fr
DEMOLDER,Demolder,nl
DEPORTES,Déportés,fr
DEPORTES,Weggevoerden,nl
DESTOUVELLES,Destouvelles,fr
DESTOUVELLES,Destouvelles,nl
DEUTSCHE SCHULE,Deutsche Schule,fr
DEUTSCHE SCHULE,Deutsche Schule,nl
DEUX CHAUSSEES,Deux Chaussées,fr
DEUX CHAUSSEES,Tweesteenwegen,nl
DEUX GARES,Deux Gares,fr
DEUX GARES,Twee Stations,nl
DIABLOTINS,Diablotins,fr
DIABLOTINS,Duiveltjes,nl
DIABOLO,Diabolo,fr
DIABOLO,Diabolo,nl
DIAMANT,Diamant,fr
DIAMANT,Diamant,nl
DIEGEMSTRAAT,Diegemstraat,fr
DIEGEMSTRAAT,Diegemstraat,nl
DIELEGHEM,Dieleghem,fr
DIELEGHEM,Dielegem,nl
DIEWEG,Dieweg,fr
DIEWEG,Dieweg,nl
DIGUE DU CANAL,Digue du Canal,fr
DIGUE DU CANAL,Vaartdijk,nl
DIRECTOIRE,Directoire,fr
DIRECTOIRE,Directoire,nl
DIVIN SAUVEUR,Divin Sauveur,fr
DIVIN SAUVEUR,Goddelijke Zaligmaker,nl
DOCKS BRUXSEL,Docks Bruxsel,fr
DOCKS BRUXSEL,Docks Bruxsel,nl
DOMAINE,Domaine,fr
DOMAINE,Domein,nl
DON BOSCO,Don Bosco,fr
DON BOSCO,Don Bosco,nl
DOUVRES,Douvres,fr
DOUVRES,Dover,nl
DREVE DE NIVELLES,Drève de Nivelles,fr
DREVE DE NIVELLES,Nijvelsedreef,nl
DRIES,Dries,fr
DRIES,Dries,nl
DROGENBOS,Drogenbos,fr
DROGENBOS,Drogenbos,nl
DROGENBOS-SHOP.,Drogenbos-Shopping,fr
DROGENBOS-SHOP.,Drogenbos-Shopping,nl
DROSSART,Drossart,fr
DROSSART,Drossaard,nl
DUBOIS,Dubois,fr
DUBOIS,Dubois,nl
DUCHESSE BRABANT,Duchesse de Brabant,fr
DUCHESSE BRABANT,Hertogin van Brabant,nl
DUDEN,Duden,fr
DUDEN,Duden,nl
DUNANT,Dunant,fr
DUNANT,Dunant,nl
DUNETTE,Dunette,fr
DUNETTE,Dunette,nl
EDDY MERCKX,Eddy Merckx,fr
EDDY MERCKX,Eddy Merckx,nl
EENENS,Eenens,fr
EENENS,Eenens,nl
EGGERGAT,Eggergat,fr
EGGERGAT,Eggergat,nl
EGIDE VAN OPHEM,Egide Van Ophem,fr
EGIDE VAN OPHEM,Egide Van Ophem,nl
EGLANTIERS,Églantiers,fr
EGLANTIERS,Wilderozen,nl
EGLISE ST-ANTOINE,Église Saint-Antoine,fr
EGLISE ST-ANTOINE,Sint-Antoonkerk,nl
EGLISE ST-JULIEN,Église Saint-Julien,fr
EGLISE ST-JULIEN,Sint-Juliaanskerk,nl
EGLISE ST-SERVAIS,Église Saint-Servais,fr
EGLISE ST-SERVAIS,Sint-Servaaskerk,nl
EGLISE WEZEMBEEK,Église Wezembeek,fr
EGLISE WEZEMBEEK,Kerk Wezembeek,nl
ELBERS,Elbers,fr
ELBERS,Elbers,nl
ELEPHANT,Éléphant,fr
ELEPHANT,Olifant,nl
ELISABETH,Elisabeth,fr
ELISABETH,Elisabeth,nl
ELOY,Eloy,fr
ELOY,Eloy,nl
EMILE DELVA,Emile Delva,fr
EMILE DELVA,Emile Delva,nl
EMPAIN,Empain,fr
EMPAIN,Empain,nl
ENGELAND,Engeland,fr
ENGELAND,Engeland,nl
ENNEPETAL,Ennepetal,fr
ENNEPETAL,Ennepetal,nl
ENTREPOT,Entrepôt,fr
ENTREPOT,Stapelhuis,nl
EQUIPAGES,Équipages,fr
EQUIPAGES,Jachtstoet,nl
ERASME,Erasme,fr
ERASME,Erasmus,nl
ERNEST SALU,Ernest Salu,fr
ERNEST SALU,Ernest Salu,nl
ESCRIME,Escrime,fr
ESCRIME,Schermkunst,nl
ESPLANADE,Esplanade,fr
ESPLANADE,Esplanade,nl
ETANGS,Étangs,fr
ETANGS,Vijvers,nl
ETANGS BOITSFORT,Étangs de Boitsfort,fr
ETANGS BOITSFORT,Vijvers van Bosvoorde,nl
ETANGS D'IXELLES,Étangs d'Ixelles,fr
ETANGS D'IXELLES,Vijvers van Elsene,nl
ETANGS NOIRS,Étangs Noirs,fr
ETANGS NOIRS,Zwarte Vijvers,nl
ETTERBEEK GARE,Etterbeek Gare,fr
ETTERBEEK GARE,Etterbeek Station,nl
EUGENE TOUSSAINT,Eugène Toussaint,fr
EUGENE TOUSSAINT,Eugène Toussaint,nl
EUROCONTROL,Eurocontrol,fr
EUROCONTROL,Eurocontrol,nl
EVERE SHOPPING,Evere Shopping,fr
EVERE SHOPPING,Evere Shopping,nl
EXPOSITION,Exposition,fr
EXPOSITION,Tentoonstelling,nl
FAIDER,Faider,fr
FAIDER,Faider,nl
FAUCONNERIE,Fauconnerie,fr
FAUCONNERIE,Valkerij,nl
FERME NOS PILIFS,Ferme Nos Pilifs,fr
FERME NOS PILIFS,Ferme Nos Pilifs,nl
FERNAND COCQ,Fernand Cocq,fr
FERNAND COCQ,Fernand Cocq,nl
FERNAND LEGER,Fernand Léger,fr
FERNAND LEGER,Fernand Léger,nl
FERNANDE VOLRAL,Fernande Volral,fr
FERNANDE VOLRAL,Fernande Volral,nl
FETIS,Fétis,fr
FETIS,Fétis,nl
FEVRIER,Février,fr
FEVRIER,Februari,nl
FIRMIN LECHARLIER,Firmin Lecharlier,fr
FIRMIN LECHARLIER,Firmin Lecharlier,nl
FLAGEY,Flagey,fr
FLAGEY,Flagey,nl
FLORIDE,Floride,fr
FLORIDE,Florida,nl
FONSON,Fonson,fr
FONSON,Fonson,nl
FOREST (BERVOETS),Forest (Bervoets),fr
FOREST (BERVOETS),Vorst (Bervoets),nl
FOREST CENTRE,Forest Centre,fr
FOREST CENTRE,Vorst Centrum,nl
FOREST NATIONAL,Forest National,fr
FOREST NATIONAL,Vorst Nationaal,nl
FORESTERIE,Foresterie,fr
FORESTERIE,Vorsterie,nl
FORESTOISE,Forestoise,fr
FORESTOISE,Forestoise,nl
FORT-JACO,Fort-Jaco,fr
FORT-JACO,Fort-Jaco,nl
FORUM,Forum,fr
FORUM,Forum,nl
FOYER JETTOIS,Foyer Jettois,fr
FOYER JETTOIS,Jetse Haard,nl
FOYER SCHAERBEEK.,Foyer Schaerbeekois,fr
FOYER SCHAERBEEK.,Schaarbeekse Haard,nl
FRAITEUR,Fraiteur,fr
FRAITEUR,Fraiteur,nl
FRANS COURTENS,Frans Courtens,fr
FRANS COURTENS,Frans Courtens,nl
FRANS HALS,Frans Hals,fr
FRANS HALS,Frans Hals,nl
FROISSART,Froissart,fr
FROISSART,Froissart,nl
FRUITS,Fruits,fr
FRUITS,Fruit,nl
FUSEE,Fusée,fr
FUSEE,Raket,nl
FUSS,Fuss,fr
FUSS,Fuss,nl
FUTAIE,Futaie,fr
FUTAIE,Futaie,nl
GALLAIT,Gallait,fr
GALLAIT,Gallait,nl
GANSHOREN-SPORT,Ganshoren-Sport,fr
GANSHOREN-SPORT,Ganshoren-Sport,nl
GARDON,Gardon,fr
GARDON,Voorn,nl
GARE CENTRALE,Gare Centrale,fr
GARE CENTRALE,Centraal Station,nl
GARE D'EVERE,Gare d'Evere,fr
GARE D'EVERE,Station Evere,nl
GARE DE BERCHEM,Gare de Berchem,fr
GARE DE BERCHEM,Station Berchem,nl
GARE DE BOCKSTAEL,Gare de Bockstael,fr
GARE DE BOCKSTAEL,Station Bockstael,nl
GARE DE HAREN-SUD,Gare de Haren-Sud,fr
GARE DE HAREN-SUD,Station Haren-Zuid,nl
GARE DE JETTE,Gare de Jette,fr
GARE DE JETTE,Station Jette,nl
GARE DE L'OUEST,Gare de l'Ouest,fr
GARE DE L'OUEST,Weststation,nl
GARE DE LINKEBEEK,Gare de Linkebeek,fr
GARE DE LINKEBEEK,Station Linkebeek,nl
GARE DE SAINT-JOB,Gare de Saint-Job,fr
GARE DE SAINT-JOB,Station Sint-Job,nl
GARE DU MIDI,Gare du Midi,fr
GARE DU MIDI,Zuidstation,nl
GARE DU NORD,Gare du Nord,fr
GARE DU NORD,Noordstation,nl
GATTI DE GAMOND,Gatti de Gamond,fr
GATTI DE GAMOND,Gatti de Gamond,nl
GAULOIS,Gaulois,fr
GAULOIS,Galliërs,nl
GAZELLE,Gazelle,fr
GAZELLE,Gazelle,nl
GEEFS,Geefs,fr
GEEFS,Geefs,nl
GENDARMES,Gendarmes,fr
GENDARMES,Gendarmen,nl
GENEVE,Genève,fr
GENEVE,Genève,nl
GENOT,Genot,fr
GENOT,Genot,nl
GEO BERNIER,Géo Bernier,fr
GEO BERNIER,Géo Bernier,nl
GEORGES BRUGMANN,Georges Brugmann,fr
GEORGES BRUGMANN,Georges Brugmann,nl
GEORGES HENRI,Georges Henri,fr
GEORGES HENRI,Georges Henri,nl
GERGEL,Gergel,fr
GERGEL,Gergel,nl
GERMOIR,Germoir,fr
GERMOIR,Mouterij,nl
GERSIS,Gersis,fr
GERSIS,Gersis,nl
GILLON,Gillon,fr
GILLON,Gillon,nl
GILSON,Gilson,fr
GILSON,Gilson,nl
GINETTE JAVAUX,Ginette Javaux,fr
GINETTE JAVAUX,Ginette Javaux,nl
GJ MARTIN,GJ Martin,fr
GJ MARTIN,GJ Martin,nl
GLIBERT,Glibert,fr
GLIBERT,Glibert,nl
GLOBE,Globe,fr
GLOBE,Globe,nl
GOFFIN,Goffin,fr
GOFFIN,Goffin,nl
GOSSART,Gossart,fr
GOSSART,Gossart,nl
GRAND SABLON,Grand Sablon,fr
GRAND SABLON,Grote Zavel,nl
GRAND'ROUTE,Grand'Route,fr
GRAND'ROUTE,Grote Baan,nl
GRAND-PLACE,Grand-Place,fr
GRAND-PLACE,Grote Markt,nl
GRIBAUMONT,Gribaumont,fr
GRIBAUMONT,Gribaumont,nl
GRIOTTES,Griottes,fr
GRIOTTES,Noordkrieken,nl
GROELSTVELD,Groelstveld,fr
GROELSTVELD,Groelstveld,nl
GROENINGHE,Groeninghe,fr
GROENINGHE,Groeninghe,nl
GROOT-BIJGAARDEN,Groot-Bijgaarden,fr
GROOT-BIJGAARDEN,Groot-Bijgaarden,nl
GUEUX,Gueux,fr
GUEUX,Geuzen,nl
GUI,Gui,fr
GUI,Marentak,nl
GUILL. DE GREEF,Guillaume De Greef,fr
GUILL. DE GREEF,Guillaume De Greef,nl
GUILLAUME,Guillaume,fr
GUILLAUME,Guillaume,nl
GUILLAUME TELL,Guillaume Tell,fr
GUILLAUME TELL,Willem Tell,nl
GULLEDELLE,Gulledelle,fr
GULLEDELLE,Gulledelle,nl
GUTENBERG,Gutenberg,fr
GUTENBERG,Gutenberg,nl
HANKAR,Hankar,fr
HANKAR,Hankar,nl
HANNETONS,Hannetons,fr
HANNETONS,Meikevers,nl
HANSSENSPARK,Hanssenspark,fr
HANSSENSPARK,Hanssenspark,nl
HAREN,Haren,fr
HAREN,Haren,nl
HEEMBEEK,Heembeek,fr
HEEMBEEK,Heembeek,nl
HEILIGENBORRE,Heiligenborre,fr
HEILIGENBORRE,Heiligenborre,nl
HELDENPLEIN,Heldenplein,fr
HELDENPLEIN,Heldenplein,nl
HELIOTROPES,Héliotropes,fr
HELIOTROPES,Heliotropen,nl
HELLEVELT,Hellevelt,fr
HELLEVELT,Hellevelt,nl
HELMET,Helmet,fr
HELMET,Helmet,nl
HENRIETTE LAUWERS,Henriette Lauwers,fr
HENRIETTE LAUWERS,Henriette Lauwers,nl
HERMAN,Herman,fr
HERMAN,Herman,nl
HERMES,Hermes,fr
HERMES,Hermes,nl
HERNALSTEEN,Hernalsteen,fr
HERNALSTEEN,Hernalsteen,nl
HEROS,Héros,fr
HEROS,Helden,nl
HERRMANN-DEBROUX,Herrmann-Debroux,fr
HERRMANN-DEBROUX,Herrmann-Debroux,nl
HET VEROOST,Het Veroost,fr
HET VEROOST,Het Veroost,nl
HEYDENBERG,Heydenberg,fr
HEYDENBERG,Heydenberg,nl
HEYSEL,Heysel,fr
HEYSEL,Heizel,nl
HIPPOD. BOITSFORT,Hippodrome de Boitsfort,fr
